"","Code Mimosa Corrigé"
"1","NE1021X051728"
"2","NE1022X000210"
"3","NE1022001129"
"4","NE1022X003003"
"5",NA
"6",NA
"7",NA
"8","LY1021004109"
"9",NA
"10","Ly1021004279"
"11","Ly1021004279"
"12","Ly1021004235"
"13",NA
"14",NA
"15",NA
"16","LY1022002301"
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23","NE1022001358"
"24","NE1022001358"
"25","NE1022X002409"
"26",NA
"27","LY1021004212"
"28","LY1021004285"
"29",NA
"30",NA
"31","NE1021X051730"
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42","TN1022001205"
"43","LY1022002133"
"44","MA1019001132"
"45",NA
"46","MA1021003470"
"47","NE1022X001122"
"48","NE1021X051842"
"49","CH1022X002597X1"
"50",NA
"51",NA
"52","GM1022001164"
"53",NA
"54","LY1021006649"
"55","NE1022X000846"
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68","LY1021008068"
"69","LY1022001225"
"70",NA
"71",NA
"72",NA
"73","DZ1021008059"
"74","CH1022X003790X1"
"75",NA
"76","CH1022X000640"
"77","DZ1021005671"
"78",NA
"79","MA1022001187"
"80","LY1022002520"
"81","LY1022003996"
"82","NE1022X001339"
"83",NA
"84",NA
"85","LY1021008343"
"86","LY1021008619"
"87","NE1022X004299"
"88","NE1022X004298"
"89","LY1021008623"
"90","LY1022003792"
"91","NE1022X002626"
"92","TN1020001194"
"93","TN1021003006"
"94","NE1022X003621"
"95","NE1022X004345"
"96","LY1021008166"
"97",NA
"98","CH1022X000306"
"99","CH5021X013479"
"100","DZ1021003429"
"101","DZ1021003428"
"102","LY1021008084"
"103","LY1022003542"
"104","LY1022003747"
"105",NA
"106",NA
"107","TN1021003043"
"108","TN1021003440"
