"","MimosaID"
"1","NE1019X021151"
"2","CH5017X032448"
"3","LY1020004251"
"4","NE1020X001309X1"
"5","NE1019X038168"
"6","MA1021001742"
"7","MA1018002321"
"8","MA1020003621"
"9","CH5017X028625"
"10","SN1020001437"
"11","SN1020001641"
"12","LY1018004520"
"13","CH5018X029096"
"14","LY1020006079"
"15","NE1018001382"
"16","NE1019X000162"
"17","NE1019X001743"
"18","MA1020003610"
"19","NE1019X022364"
"20","LY1020007501"
"21","MA1021003208"
"22","MA1021001918"
"23","xxxxx"
"24","xxxx"
"25","xxxxx"
"26","xxxx"
"27","EG10196D48488EAE01"
"28","DZ1021003611"
"29","NE1021X049021"
"30","DZ1021003418"
"31","DZ1021003687"
"32","DZ1021003692"
"33","DZ1021004063"
"34","DZ1021004729"
"35","DZ1021003635"
"36","LY1019008021"
"37","MA1021004578"
"38","DK-000712"
"39","Notfound"
"40","CH5021X013251"
"41","MR1021001903"
"42","18420"
"43","CH5021X013377"
"44","CH5021X013251"
"45","23468"
"46","LY1021C0AD0489FD94"
"47","CH5022X000354"
"48","EUTF22777"
"49","LY1021D2B045B392BA"
"50","23269"
"51","NE1021X053537X1"
"52","EUTFGIN24533"
"53","EUTFGIN24533"
"54","EUTFGIN22820"
"55","LY1021011529"
"56","LY1021007808"
"57","LY1021007517"
"58","EUTFGIN4275"
"59","NE1022X001669"
"60","AR-047186-1"
"61","LY1022002537"
"62","EUTFGIN25266"
"63","EUTFGIN26573"
"64","MA1021005407"
"65","NE1022X002193"
"66","NE1022X000358"
"67","LY1022002669"
"68","LY1021007767"
"69","NE1022X000011"
"70","MA1021005433"
"71","23273"
"72","DZ1021003635"
"73","18420"
"74","23269"
"75","23269"
"76","AZ-009315-1"
"77","AZ-009315-1"
